Li,Ti,Cl,453.69,1615,0.98,520.22,1941,3560,1.54,658.81,0.53,6.941,-1.86553478,0.22720863,16.51,-1.86988691,21.6,1.23,520,1.55,59.8,2.05,13.1,5.392,76.638,122.451,46,3.582,84.7,3,147.1,3,4.54,47.88,-7.66126811,2.97615095,16.84,-7.77522712,17.6,1.32,658,1.448,20,2,10.64,6.82,13.58,27.491,8.6,0.523,21.9,18.6,425.2,22,3.214,35.4527,-0.9545457,2.21271389,20.54,-1.784433755,29,0.99,1251.1,0.99,348.8,0.97,16.9,12.967,23.81,39.611,0,0.48,0.0089,3.21,10.2,17,171.6,239.11,3.16,1251.19,0.76,0.86,1.67,-1.676058889
Li,Ti,Cl,453.69,1615,0.98,520.22,1941,3560,1.54,658.81,0.53,6.941,-1.86553478,0.22720863,16.51,-1.86988691,21.6,1.23,520,1.55,59.8,2.05,13.1,5.392,76.638,122.451,46,3.582,84.7,3,147.1,3,4.54,47.88,-7.66126811,2.97615095,16.84,-7.77522712,17.6,1.32,658,1.448,20,2,10.64,6.82,13.58,27.491,8.6,0.523,21.9,18.6,425.2,22,3.214,35.4527,-0.9545457,2.21271389,20.54,-1.784433755,29,0.99,1251.1,0.99,348.8,0.97,16.9,12.967,23.81,39.611,0,0.48,0.0089,3.21,10.2,17,171.6,239.11,3.16,1251.19,0.76,0.86,1.67,-1.856960224
Na,Mn,Cl,370.87,1156,0.93,495.85,1519,2334,1.55,717.28,0.97,22.98977,-1.2544847,1.31524918,29.21,-1.260241383,39.7,1.54,495.8,1.9,52.7,2.23,23.7,5.139,47.286,71.641,71,1.23,141,2.601,98.01,11,7.44,54.938,-8.87041076,7.57494268,10.51,-9.02056525,12.2,1.17,717.4,1.24,0,1.79,7.39,7.435,15.64,33.667,21.7,0.48,7.82,14.64,219.74,25,3.214,35.4527,-0.9545457,2.21271389,20.54,-1.784433755,29,0.99,1251.1,0.99,348.8,0.97,16.9,12.967,23.81,39.611,0,0.48,0.0089,3.21,10.2,17,171.6,239.11,3.16,1251.19,1.39,0.83,1.67,-1.729334633
K,Pb,I,336.53,1032,0.82,418.81,600.61,2022,2.33,715.6,0.86,39.0983,-1.096516,-0.05407911,72.1,-1.097539713,75.6,2.03,418.8,2.35,48.36,2.77,45.46,4.341,31.625,45.72,82,0.757,102.5,2.33,76.9,19,11.35,207.2,-3.58277457,8.30350334,27.92,-3.62902961,30.3,1.47,715.5,1.75,110,1.81,18.17,7.416,15.028,31.943,28.8,0.129,35.3,4.77,177.9,82,4.93,126.9045,-1.05350365,4.49323253,35.36,-1.505402418,42.5,1.33,1008.4,1.33,295.3,1.32,25.74,10.451,19.131,33,87,0.145,0.449,7.76,20.9,53,386.85,457.4,2.66,1008.39,1.64,1.19,2.06,-0.983644206
K,Sr,I,336.53,1032,0.82,418.81,1050,1655,0.95,549.47,0.86,39.0983,-1.096516,-0.05407911,72.1,-1.097539713,75.6,2.03,418.8,2.35,48.36,2.77,45.46,4.341,31.625,45.72,82,0.757,102.5,2.33,76.9,19,2.54,87.62,-1.67793991,1.71056951,52.91,-1.6828136,56,1.91,549.5,2.15,-168,2.45,33.7,5.695,11.03,43.6,22.5,0.3,3.53,8.2,136.9,38,4.93,126.9045,-1.05350365,4.49323253,35.36,-1.505402418,42.5,1.33,1008.4,1.33,295.3,1.32,25.74,10.451,19.131,33,87,0.145,0.449,7.76,20.9,53,386.85,457.4,2.66,1008.39,1.64,1.18,2.06,-1.624865421
K,Dy,Br,336.53,1032,0.82,418.81,1680,2840,1.22,573.03,0.86,39.0983,-1.096516,-0.05407911,72.1,-1.097539713,75.6,2.03,418.8,2.35,48.36,2.77,45.46,4.341,31.625,45.72,82,0.757,102.5,2.33,76.9,19,8.55,162.5,-4.45538074,3.35771331,31.21,-4.601554453,31.6,1.59,572,1.773,50,2.49,19,5.94,11.67,22.802,9.6,0.173,10.7,11.06,230,66,3.12,79.904,-0.99863179,2.00721501,25.56,-1.583025338,65.1,1.14,1139.9,1.14,324.6,1.12,25.6,11.814,21.8,36,0,0.226,0.122,5.286,14.725,35,265.8,332,2.96,1139.86,1.64,1.07,1.82,-1.548229478
K,Dy,I,336.53,1032,0.82,418.81,1680,2840,1.22,573.03,0.86,39.0983,-1.096516,-0.05407911,72.1,-1.097539713,75.6,2.03,418.8,2.35,48.36,2.77,45.46,4.341,31.625,45.72,82,0.757,102.5,2.33,76.9,19,8.55,162.5,-4.45538074,3.35771331,31.21,-4.601554453,31.6,1.59,572,1.773,50,2.49,19,5.94,11.67,22.802,9.6,0.173,10.7,11.06,230,66,4.93,126.9045,-1.05350365,4.49323253,35.36,-1.505402418,42.5,1.33,1008.4,1.33,295.3,1.32,25.74,10.451,19.131,33,87,0.145,0.449,7.76,20.9,53,386.85,457.4,2.66,1008.39,1.64,1.07,2.06,-1.228642616
K,Tm,Br,336.53,1032,0.82,418.81,1818,2223,1.25,596.7,0.86,39.0983,-1.096516,-0.05407911,72.1,-1.097539713,75.6,2.03,418.8,2.35,48.36,2.77,45.46,4.341,31.625,45.72,82,0.757,102.5,2.33,76.9,19,9.32,168.9342,-4.33081911,3.10359129,29.93,-4.47387849,30.1,1.56,596,1.78,50,2.42,18.1,6.184,12.054,26.367,12,0.16,16.8,16.8,191,69,3.12,79.904,-0.99863179,2.00721501,25.56,-1.583025338,65.1,1.14,1139.9,1.14,324.6,1.12,25.6,11.814,21.8,36,0,0.226,0.122,5.286,14.725,35,265.8,332,2.96,1139.86,1.64,1.03,1.82,-1.498481342
K,Tm,I,336.53,1032,0.82,418.81,1818,2223,1.25,596.7,0.86,39.0983,-1.096516,-0.05407911,72.1,-1.097539713,75.6,2.03,418.8,2.35,48.36,2.77,45.46,4.341,31.625,45.72,82,0.757,102.5,2.33,76.9,19,9.32,168.9342,-4.33081911,3.10359129,29.93,-4.47387849,30.1,1.56,596,1.78,50,2.42,18.1,6.184,12.054,26.367,12,0.16,16.8,16.8,191,69,4.93,126.9045,-1.05350365,4.49323253,35.36,-1.505402418,42.5,1.33,1008.4,1.33,295.3,1.32,25.74,10.451,19.131,33,87,0.145,0.449,7.76,20.9,53,386.85,457.4,2.66,1008.39,1.64,1.03,2.06,-1.18166084
K,Yb,I,336.53,1032,0.82,418.81,1097,1469,1.26,603.43,0.86,39.0983,-1.096516,-0.05407911,72.1,-1.097539713,75.6,2.03,418.8,2.35,48.36,2.77,45.46,4.341,31.625,45.72,82,0.757,102.5,2.33,76.9,19,6.97,173.04,-1.46751146,1.85545181,33.78,-1.47410408,41.1,1.7,603,1.94,50,2.4,24.79,6.254,12.188,25.03,25.1,0.155,34.9,7.7,128,70,4.93,126.9045,-1.05350365,4.49323253,35.36,-1.505402418,42.5,1.33,1008.4,1.33,295.3,1.32,25.74,10.451,19.131,33,87,0.145,0.449,7.76,20.9,53,386.85,457.4,2.66,1008.39,1.64,1.02,2.06,-1.5828779
