Li,Ni,BH4,453.69,1615,0.98,520.22,1728,3186,1.91,737.14,0.53,6.941,-1.86553478,0.22720863,16.51,-1.86988691,21.6,1.23,520,1.55,59.8,2.05,13.1,5.392,76.638,122.451,46,3.582,84.7,3,147.1,3,8.9,58.6934,-5.43913904,5.09579251,10.33,-5.54632457,10.8,1.15,736.7,1.246,111,1.62,6.59,7.635,18.168,35.17,13.4,0.444,90.7,17.2,377.5,28,4.47426479,100.9468283,-1.028158474,3.909838344,32.6770954,-1.59635529,55.88529307,1.242801862,1072.666587,1.242900364,308.0199856,1.231104556,22.79834649,11.08849252,20.10500819,34.79196274,67.5943313,0.253403844,0.388953518,6.602650087,18.51069953,43.38433271,335.5366019,410.6972684,2.77987448,1072.752702,0.76,0.69,1.988308693
Na,Ni,BH4,370.87,1156,0.93,495.85,1728,3186,1.91,737.14,0.97,22.98977,-1.2544847,1.31524918,29.21,-1.260241383,39.7,1.54,495.8,1.9,52.7,2.23,23.7,5.139,47.286,71.641,71,1.23,141,2.601,98.01,11,8.9,58.6934,-5.43913904,5.09579251,10.33,-5.54632457,10.8,1.15,736.7,1.246,111,1.62,6.59,7.635,18.168,35.17,13.4,0.444,90.7,17.2,377.5,28,4.47426479,100.9468283,-1.028158474,3.909838344,32.6770954,-1.59635529,55.88529307,1.242801862,1072.666587,1.242900364,308.0199856,1.231104556,22.79834649,11.08849252,20.10500819,34.79196274,67.5943313,0.253403844,0.388953518,6.602650087,18.51069953,43.38433271,335.5366019,410.6972684,2.77987448,1072.752702,1.39,0.69,1.988308693
K,Ni,BH4,336.53,1032,0.82,418.81,1728,3186,1.91,737.14,0.86,39.0983,-1.096516,-0.05407911,72.1,-1.097539713,75.6,2.03,418.8,2.35,48.36,2.77,45.46,4.341,31.625,45.72,82,0.757,102.5,2.33,76.9,19,8.9,58.6934,-5.43913904,5.09579251,10.33,-5.54632457,10.8,1.15,736.7,1.246,111,1.62,6.59,7.635,18.168,35.17,13.4,0.444,90.7,17.2,377.5,28,4.47426479,100.9468283,-1.028158474,3.909838344,32.6770954,-1.59635529,55.88529307,1.242801862,1072.666587,1.242900364,308.0199856,1.231104556,22.79834649,11.08849252,20.10500819,34.79196274,67.5943313,0.253403844,0.388953518,6.602650087,18.51069953,43.38433271,335.5366019,410.6972684,2.77987448,1072.752702,1.64,0.69,1.988308693
Rb,Ni,BH4,312.46,961,0.82,403.03,1728,3186,1.91,737.14,1.532,85.4678,-0.96193707,0.09088364,88.64,-0.963335025,93,2.16,403,2.48,46.89,2.98,55.9,4.177,27.28,40,91,0.363,58.2,2.34,69.2,37,8.9,58.6934,-5.43913904,5.09579251,10.33,-5.54632457,10.8,1.15,736.7,1.246,111,1.62,6.59,7.635,18.168,35.17,13.4,0.444,90.7,17.2,377.5,28,4.47426479,100.9468283,-1.028158474,3.909838344,32.6770954,-1.59635529,55.88529307,1.242801862,1072.666587,1.242900364,308.0199856,1.231104556,22.79834649,11.08849252,20.10500819,34.79196274,67.5943313,0.253403844,0.388953518,6.602650087,18.51069953,43.38433271,335.5366019,410.6972684,2.77987448,1072.752702,1.72,0.69,1.988308693
Li,Mg,BH4,453.69,1615,0.98,520.22,923,1363,1.31,737.75,0.53,6.941,-1.86553478,0.22720863,16.51,-1.86988691,21.6,1.23,520,1.55,59.8,2.05,13.1,5.392,76.638,122.451,46,3.582,84.7,3,147.1,3,1.74,24.305,-1.51367083,4.0864554,22.88,-1.54227231,23.4,1.36,737.7,1.6,-230,1.72,13.97,7.646,15.035,80.143,24.8,1.02,156,8.95,127.6,12,4.47426479,100.9468283,-1.028158474,3.909838344,32.6770954,-1.59635529,55.88529307,1.242801862,1072.666587,1.242900364,308.0199856,1.231104556,22.79834649,11.08849252,20.10500819,34.79196274,67.5943313,0.253403844,0.388953518,6.602650087,18.51069953,43.38433271,335.5366019,410.6972684,2.77987448,1072.752702,0.76,0.72,1.988308693
Na,Mg,BH4,370.87,1156,0.93,495.85,923,1363,1.31,737.75,0.97,22.98977,-1.2544847,1.31524918,29.21,-1.260241383,39.7,1.54,495.8,1.9,52.7,2.23,23.7,5.139,47.286,71.641,71,1.23,141,2.601,98.01,11,1.74,24.305,-1.51367083,4.0864554,22.88,-1.54227231,23.4,1.36,737.7,1.6,-230,1.72,13.97,7.646,15.035,80.143,24.8,1.02,156,8.95,127.6,12,4.47426479,100.9468283,-1.028158474,3.909838344,32.6770954,-1.59635529,55.88529307,1.242801862,1072.666587,1.242900364,308.0199856,1.231104556,22.79834649,11.08849252,20.10500819,34.79196274,67.5943313,0.253403844,0.388953518,6.602650087,18.51069953,43.38433271,335.5366019,410.6972684,2.77987448,1072.752702,1.39,0.72,1.988308693
K,Mg,BH4,336.53,1032,0.82,418.81,923,1363,1.31,737.75,0.86,39.0983,-1.096516,-0.05407911,72.1,-1.097539713,75.6,2.03,418.8,2.35,48.36,2.77,45.46,4.341,31.625,45.72,82,0.757,102.5,2.33,76.9,19,1.74,24.305,-1.51367083,4.0864554,22.88,-1.54227231,23.4,1.36,737.7,1.6,-230,1.72,13.97,7.646,15.035,80.143,24.8,1.02,156,8.95,127.6,12,4.47426479,100.9468283,-1.028158474,3.909838344,32.6770954,-1.59635529,55.88529307,1.242801862,1072.666587,1.242900364,308.0199856,1.231104556,22.79834649,11.08849252,20.10500819,34.79196274,67.5943313,0.253403844,0.388953518,6.602650087,18.51069953,43.38433271,335.5366019,410.6972684,2.77987448,1072.752702,1.64,0.72,1.988308693
Rb,Mg,BH4,312.46,961,0.82,403.03,923,1363,1.31,737.75,1.532,85.4678,-0.96193707,0.09088364,88.64,-0.963335025,93,2.16,403,2.48,46.89,2.98,55.9,4.177,27.28,40,91,0.363,58.2,2.34,69.2,37,1.74,24.305,-1.51367083,4.0864554,22.88,-1.54227231,23.4,1.36,737.7,1.6,-230,1.72,13.97,7.646,15.035,80.143,24.8,1.02,156,8.95,127.6,12,4.47426479,100.9468283,-1.028158474,3.909838344,32.6770954,-1.59635529,55.88529307,1.242801862,1072.666587,1.242900364,308.0199856,1.231104556,22.79834649,11.08849252,20.10500819,34.79196274,67.5943313,0.253403844,0.388953518,6.602650087,18.51069953,43.38433271,335.5366019,410.6972684,2.77987448,1072.752702,1.72,0.72,1.988308693
Li,Ge,BH4,453.69,1615,0.98,520.22,1211.4,3093,2.01,762.18,0.53,6.941,-1.86553478,0.22720863,16.51,-1.86988691,21.6,1.23,520,1.55,59.8,2.05,13.1,5.392,76.638,122.451,46,3.582,84.7,3,147.1,3,5.32,72.61,-4.27836489,4.38004256,18.82,-4.616039545,22.2,1.22,762.1,1.37,120,1.52,13.6,7.899,15.934,34.22,5.7,0.32,59.9,31.8,334.3,32,4.47426479,100.9468283,-1.028158474,3.909838344,32.6770954,-1.59635529,55.88529307,1.242801862,1072.666587,1.242900364,308.0199856,1.231104556,22.79834649,11.08849252,20.10500819,34.79196274,67.5943313,0.253403844,0.388953518,6.602650087,18.51069953,43.38433271,335.5366019,410.6972684,2.77987448,1072.752702,0.76,0.73,1.988308693
Na,Ge,BH4,370.87,1156,0.93,495.85,1211.4,3093,2.01,762.18,0.97,22.98977,-1.2544847,1.31524918,29.21,-1.260241383,39.7,1.54,495.8,1.9,52.7,2.23,23.7,5.139,47.286,71.641,71,1.23,141,2.601,98.01,11,5.32,72.61,-4.27836489,4.38004256,18.82,-4.616039545,22.2,1.22,762.1,1.37,120,1.52,13.6,7.899,15.934,34.22,5.7,0.32,59.9,31.8,334.3,32,4.47426479,100.9468283,-1.028158474,3.909838344,32.6770954,-1.59635529,55.88529307,1.242801862,1072.666587,1.242900364,308.0199856,1.231104556,22.79834649,11.08849252,20.10500819,34.79196274,67.5943313,0.253403844,0.388953518,6.602650087,18.51069953,43.38433271,335.5366019,410.6972684,2.77987448,1072.752702,1.39,0.73,1.988308693
